,id,original_language,title,vote_average,vote_count,Acción,Animación,Aventura,Bélica,Ciencia ficción,Comedia,Crimen,Documental,Drama,Familia,Fantasía,Historia,Misterio,Música,Película de TV,Romance,Suspenso,Terror,Western
0,13,en,Forrest Gump,8.5,24822,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
1,122,en,The Lord of the Rings: The Return of the King,8.5,21738,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,129,ja,Spirited Away,8.5,14439,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
3,155,en,The Dark Knight,8.5,29906,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
4,238,en,The Godfather,8.7,18109,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
5,240,en,The Godfather Part II,8.6,10933,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
6,278,en,The Shawshank Redemption,8.7,23982,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
7,389,en,12 Angry Men,8.5,7354,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,429,it,"The Good, the Bad and the Ugly",8.5,7467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,497,en,The Green Mile,8.5,15522,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
10,680,en,Pulp Fiction,8.5,25328,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
11,769,en,GoodFellas,8.5,11356,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
12,11216,it,Cinema Paradiso,8.5,3793,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
13,19404,hi,Dilwale Dulhania Le Jayenge,8.6,4151,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
14,372058,ja,Your Name.,8.5,9944,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
15,496243,ko,Parasite,8.5,15899,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
16,569094,en,Spider-Man: Across the Spider-Verse,8.7,1557,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,704264,en,Primal: Tales of Savagery,8.5,266,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18,772071,es,Cuando Sea Joven,8.5,243,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
